Year,Month,Initial Ordering BIC8,Initial Ordering BIC8 name,Initial Ordering Country,BIC8,BIC8 name,BIC8 Country,Counterparty BIC8,Counterparty BIC8 name,Counterparty BIC8 Country,End Beneficiary BIC8,End Beneficiary BIC8 name,End Beneficiary Country,Message Type,Currency,Net.USD.Amount,Transactions
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOK,,US,MT103,USD,500000,10
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOK,,TW,MT103,USD,16000,1
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOH,,DE,GLOK,,TW,MT103,USD,10000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,IN,GLOK,,IN,MT700,USD,27238,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOK,,US,MT103,USD,6560442,130
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOK,,SG,MT103,USD,18378,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOK,,IN,MT103,USD,8167,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOK,,US,MT103,USD,215834,14
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOK,,IN,MT103,USD,4532,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOJ,,NL,MT103,USD,76000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOJ,,BE,MT103,EUR,14205,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOJ,,NL,MT103,EUR,27016,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOJ,,NL,MT103,USD,23328,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOH,,DE,MT103,USD,12951,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOH,,DE,MT103,EUR,31207,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOH,,DE,MT103,USD,76427,3
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOH,,DE,MT103,USD,630000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOH,,DE,MT103,USD,36791,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOH,,DE,MT103,EUR,550603,16
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOH,,DE,MT103,USD,71036,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,US,GLOH,,US,MT700,USD,100000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOH,,DE,MT103,USD,22362,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOH,,US,MT103,USD,900000,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOH,,DE,MT103,USD,189844,6
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOH,,DE,MT103,EUR,87991,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOH,,DE,MT700,USD,410300,4
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOG,,US,MT103,USD,335317,5
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOG,,US,MT103,USD,26243,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOG,,US,MT103,USD,41381,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOG,,UY,MT103,USD,1140,1
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOG,,US,MT103,USD,25000,1
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOG,,US,MT103,USD,25,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOG,,US,MT103,USD,21391,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOG,,US,MT103,USD,4075,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOG,,US,MT103,USD,35494,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOG,,UY,MT103,USD,7602,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOG,,US,MT103,USD,48620,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOG,,US,MT103,USD,16711,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOG,,US,MT103,USD,2500,1
2015,Jul,BNKFXXYY,,XX,BNKFXXYY,,XX,BNKGJMKN,,JM,GLOG,,UY,MT103,USD,600,1
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOF ,,US,MT103,USD,367208,5
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOF,,GB,MT103,USD,33550,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOF,,HK,MT103,USD,16993,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOF,,US,MT103,USD,29072346,72
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOF,,HK,MT103,USD,33631,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOF,,IN,MT103,USD,17724,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOF,,TW,MT103,USD,105984,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOF,,US,MT103,USD,37037442,124
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOF,,US,MT103,USD,300000,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOF,,GB,MT103,USD,49096,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOF,,HK,MT103,USD,46610,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOF,,IN,MT103,USD,1344,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOF,,TW,MT103,USD,33756,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOF,,US,MT103,USD,16937852,47
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOF,,US,GLOF,,US,MT202,USD,10872882,13
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOF,,US,GLOF,,US,MT103,USD,537481,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOF,,TW,MT103,USD,30474,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOF,,US,MT103,USD,112167,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,AE,MT103,USD,5057,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,GB,MT103,USD,174896,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,HK,MT103,USD,3000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,JP,MT103,USD,5000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,TW,MT103,USD,48184,4
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOF,,US,MT103,USD,16706200,241
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOF,,HK,MT103,USD,4124,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOF,,SG,MT103,USD,15984,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOF,,US,MT103,USD,1076895,16
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOK,,US,GLOF,,US,MT103,USD,110279,9
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOF,,US,MT103,USD,43381,13
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOA,,US,GLOF,,US,MT103,USD,28762,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOF,,US,MT103,USD,16902,3
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOF,,US,MT103,USD,7203397,79
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOE,,US,MT103,USD,1793770,80
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOE,,GB,MT103,USD,122939,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOE,,US,MT103,USD,2567210,83
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOE,,US,MT103,USD,942107,46
2015,Jul,BNKCXXYY,,XX,BNKCXXYY,,XX,GLOC,,DE,GLOE,,US,MT103,USD,1215685,6
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOE,,US,MT103,USD,2142310,44
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOE,,US,MT103,USD,67633,9
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOE,,US,GLOE,,US,MT103,USD,686190,14
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOE,,GB,MT103,USD,11970,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOF,,US,GLOE,,US,MT103,USD,18252,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOE,,GB,MT103,USD,172,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOE,,US,MT103,USD,998364,26
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOE,,US,MT103,USD,431134,5
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOA,,US,GLOE,,US,MT103,USD,149646,5
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOC,,US,GLOE,,US,MT103,USD,53107,6
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOE,,US,MT103,USD,12915,6
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOD,,AR,MT103,USD,14468,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOD,,ES,MT103,USD,1700,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOD,,ES,MT103,USD,11423,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOA,,US,GLOD,,UY,MT103,USD,29703,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOD,,ES,MT103,USD,24555,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOD,,UY,MT103,USD,14862,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOD,,AR,MT103,USD,10595,1
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOC,,US,GLOD,,ES,MT103,USD,6906,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOD,,ES,MT103,EUR,18698,4
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOD,,ES,MT103,EUR,115832,12
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOD,,ES,MT103,USD,40187,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOD,,ES,MT103,USD,23234,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOA,,US,GLOD,,UY,MT103,USD,23988,3
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOC,,US,GLOD,,ES,MT103,USD,546982,5
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOH,,DE,GLOD,,ES,MT103,EUR,137012,12
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOD,,CL,MT103,USD,10000,1
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOD,,ES,MT103,USD,171020,2
2015,Jul,BNKDXXYY,,XX,BNKDXXYY,,XX,GLOK,,US,GLOD,,ES,MT103,EUR,14736,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOD,,CL,MT103,USD,4370,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOF,,US,GLOD,,ES,MT103,USD,3070392,7
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOB,,US,GLOD,,ES,MT103,USD,2307888,2
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOD,,ES,MT103,USD,50000,1
2015,Jul,BNKEXXYY,,XX,BNKEXXYY,,XX,GLOH,,DE,GLOD,,ES,MT103,EUR,41944,3
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOH,,DE,GLOC,,DE,MT103,EUR,12385,2
2015,Jul,BNKAXXYY,,XX,BNKAXXYY,,XX,GLOB,,US,GLOC,,DE,MT103,USD,19553,1
