Code,speriod1,speriod2,speriod3,speriod4,speriod5,chperiod1,chperiod2,chperiod3,chperiod4,chperiod5
AE,68,69,70,70,66,0,1,1,0,-1
AF,8,8,12,11,15,0,0,1,-1,1
AL,33,31,33,36,39,0,-1,1,1,1
AM,34,36,37,35,33,0,1,1,-1,-1
AO,22,23,19,15,18,0,1,-1,-1,1
AR,35,34,34,32,36,0,-1,0,-1,1
AT,69,69,72,76,75,0,0,1,1,-1
AU,85,81,80,79,79,0,-1,-1,-1,0
AZ,27,28,29,29,30,0,1,1,0,1
BA,42,42,39,38,39,0,0,-1,-1,1
BB,76,75,74,0,61,0,-1,-1,,
BD,26,27,25,25,26,0,1,-1,0,1
BE,75,75,76,77,77,0,0,1,1,0
BF,38,38,38,38,42,0,0,0,0,1
BG,41,41,43,41,41,0,0,1,-1,0
BH,51,48,49,51,43,0,-1,1,1,-1
BI,19,21,20,21,20,0,1,-1,1,-1
BJ,36,36,39,37,36,0,0,1,-1,-1
BN,55,60,0,0,58,0,1,,,
BO,34,34,35,34,33,0,0,1,-1,-1
BR,43,42,43,38,40,0,-1,1,-1,1
BS,71,71,71,0,66,0,0,0,,
BT,63,63,65,65,65,0,0,1,0,0
BW,65,64,63,63,60,0,-1,-1,0,-1
BY,31,29,31,32,40,0,-1,1,1,1
CA,84,81,81,83,82,0,-1,0,1,-1
CD,21,22,22,22,21,0,1,0,0,-1
CF,26,25,24,24,20,0,-1,-1,0,-1
CG,26,22,23,23,20,0,-1,1,0,-1
CH,86,85,86,86,86,0,-1,1,0,0
CI,29,27,32,32,34,0,-1,1,0,1
CL,72,71,73,70,66,0,-1,1,-1,-1
CM,26,25,27,27,26,0,-1,1,0,-1
CN,39,40,36,37,40,0,1,-1,1,1
CO,36,36,37,37,37,0,0,1,0,0
CR,54,53,54,55,58,0,-1,1,1,1
CU,48,46,46,47,47,0,-1,0,1,0
CV,60,58,57,55,59,0,-1,-1,-1,1
CY,66,63,63,61,55,0,-1,0,-1,-1
CZ,49,48,51,56,55,0,-1,1,1,-1
DE,79,78,79,81,81,0,-1,1,1,0
DJ,36,36,34,34,30,0,0,-1,0,-1
DK,90,91,92,91,90,0,1,1,-1,-1
DM,58,58,58,0,59,0,0,0,,
DO,32,29,32,33,31,0,-1,1,1,-1
DZ,34,36,36,36,34,0,1,0,0,-1
EC,32,35,33,32,31,0,1,-1,-1,-1
EE,64,68,69,70,70,0,1,1,1,0
EG,32,32,37,36,34,0,0,1,-1,-1
ER,25,20,18,18,18,0,-1,-1,0,0
ES,65,59,60,58,58,0,-1,1,-1,0
ET,33,33,33,33,34,0,0,0,0,1
FI,90,89,89,90,89,0,-1,0,1,-1
FR,71,71,69,70,69,0,0,-1,1,-1
GA,35,34,37,34,35,0,-1,1,-1,1
GB,74,76,78,81,81,0,1,1,1,0
GD,0,0,0,0,56,0,,,,
GE,52,49,52,52,57,0,-1,1,0,1
GH,45,46,48,47,43,0,1,1,-1,-1
GM,34,28,29,28,26,0,-1,1,-1,-1
GN,24,24,25,25,27,0,0,1,0,1
GQ,20,19,0,0,0,0,-1,,,
GR,36,40,43,46,44,0,1,1,1,-1
GT,33,29,32,28,28,0,-1,1,-1,0
GW,25,19,19,17,16,0,-1,0,-1,-1
GY,28,27,30,29,34,0,-1,1,-1,1
HK,77,75,74,75,77,0,-1,-1,1,1
HN,28,26,29,31,30,0,-1,1,1,-1
HR,46,48,48,51,49,0,1,0,1,-1
HT,19,19,19,17,20,0,0,0,-1,1
HU,55,54,54,51,48,0,-1,0,-1,-1
ID,32,32,34,36,37,0,0,1,1,1
IE,69,72,74,75,73,0,1,1,1,-1
IL,60,61,60,61,64,0,1,-1,1,1
IN,36,36,38,38,40,0,0,1,0,1
IQ,18,16,16,16,17,0,-1,0,0,1
IR,28,25,27,27,29,0,-1,1,0,1
IS,82,78,79,79,78,0,-1,1,0,-1
IT,42,43,43,44,47,0,1,0,1,1
JM,38,38,38,41,39,0,0,0,1,-1
JO,48,45,49,53,48,0,-1,1,1,-1
JP,74,74,76,75,72,0,0,1,-1,-1
KE,27,27,25,25,26,0,0,-1,0,1
KG,24,24,27,28,28,0,0,1,1,0
KH,22,20,21,21,21,0,-1,1,0,0
KM,28,28,26,26,24,0,0,-1,0,-1
KP,8,8,8,8,12,0,0,0,0,1
KR,56,55,55,56,53,0,-1,0,1,-1
KV,34,33,33,33,36,0,-1,0,0,1
KW,44,43,44,49,41,0,-1,1,1,-1
KZ,28,26,29,28,29,0,-1,1,-1,1
LA,21,26,25,25,30,0,1,-1,0,1
LB,30,28,27,28,28,0,-1,-1,1,0
LC,71,71,0,0,60,0,0,,,
LK,40,37,38,37,36,0,-1,1,-1,-1
LR,41,38,37,37,37,0,-1,-1,0,0
LS,45,49,49,44,39,0,1,0,-1,-1
LT,54,57,58,61,59,0,1,1,1,-1
LU,80,80,82,81,81,0,0,1,-1,0
LV,49,53,55,55,57,0,1,1,0,1
LY,21,15,18,16,14,0,-1,1,-1,-1
MA,37,37,39,36,37,0,0,1,-1,1
MD,36,35,35,33,30,0,-1,0,-1,-1
ME,41,44,42,44,45,0,1,-1,1,1
MG,32,28,28,28,26,0,-1,0,0,-1
MK,43,44,45,42,37,0,1,1,-1,-1
ML,34,28,32,35,32,0,-1,1,1,-1
MM,15,21,21,22,28,0,1,0,1,1
MN,36,38,39,39,38,0,1,1,0,-1
MR,31,30,30,31,27,0,-1,0,1,-1
MT,57,56,55,56,55,0,-1,-1,1,-1
MU,57,52,54,53,54,0,-1,1,-1,1
MV,0,0,0,0,36,0,,,,
MW,37,37,33,31,31,0,0,-1,-1,0
MX,34,34,35,35,30,0,0,1,0,-1
MY,49,50,52,50,49,0,1,1,-1,-1
MZ,31,30,31,31,27,0,-1,1,0,-1
NA,48,48,49,53,52,0,0,1,1,-1
NE,33,34,35,34,35,0,1,1,-1,1
NG,27,25,27,26,28,0,-1,1,-1,1
NI,29,28,28,27,26,0,-1,0,-1,-1
NL,84,83,83,87,83,0,-1,0,1,-1
NO,85,86,86,87,85,0,1,0,1,-1
NP,27,31,29,27,29,0,1,-1,-1,1
NZ,90,91,91,88,90,0,1,0,-1,1
OM,47,47,45,45,45,0,0,-1,0,0
PA,38,35,37,39,38,0,-1,1,1,-1
PE,38,38,38,36,35,0,0,0,-1,-1
PG,25,25,25,25,28,0,0,0,0,1
PH,34,36,38,35,35,0,1,1,-1,0
PK,27,28,29,30,32,0,1,1,1,1
PL,58,60,61,62,62,0,1,1,1,0
PR,63,62,63,0,0,0,-1,1,,
PT,63,62,63,63,62,0,-1,1,0,-1
PY,25,24,24,27,30,0,-1,0,1,1
QA,68,68,69,71,61,0,0,1,1,-1
RO,44,43,43,46,48,0,-1,0,1,1
RS,39,42,41,40,42,0,1,-1,-1,1
RU,28,28,27,29,29,0,0,-1,1,0
RW,53,53,49,54,54,0,0,-1,1,0
SA,44,46,49,52,46,0,1,1,1,-1
SB,0,0,0,0,42,0,,,,
SC,52,54,55,55,0,0,1,1,0,
SD,13,11,11,12,14,0,-1,0,1,1
SE,88,89,87,89,88,0,1,-1,1,-1
SG,87,86,84,85,84,0,-1,-1,1,-1
SI,61,57,58,60,61,0,-1,1,1,1
SK,46,47,50,51,51,0,1,1,1,0
SL,31,30,31,29,30,0,-1,1,-1,1
SN,36,41,43,44,45,0,1,1,1,1
SO,8,8,8,8,10,0,0,0,0,1
SR,37,36,36,36,45,0,-1,0,0,1
SS,0,14,15,15,11,0,,1,0,-1
ST,42,42,42,42,46,0,0,0,0,1
SV,38,38,39,39,36,0,0,1,0,-1
SY,26,17,20,18,13,0,-1,1,-1,-1
SZ,37,39,43,0,0,0,1,1,,
TD,19,19,22,22,20,0,0,1,0,-1
TG,30,29,29,32,32,0,-1,0,1,0
TH,37,35,38,38,35,0,-1,1,0,-1
TJ,22,22,23,26,25,0,0,1,1,-1
TL,33,30,28,28,35,0,-1,-1,0,1
TM,17,17,17,18,22,0,0,0,1,1
TN,41,41,40,38,41,0,0,-1,-1,1
TR,49,50,45,42,41,0,1,-1,-1,-1
TT,39,38,38,39,35,0,-1,0,1,-1
TW,61,61,61,62,61,0,0,0,1,-1
TZ,35,33,31,30,32,0,-1,-1,-1,1
UA,26,25,26,27,29,0,-1,1,1,1
UG,29,26,26,25,25,0,-1,0,-1,0
US,73,73,74,76,74,0,0,1,1,-1
UY,72,73,73,74,71,0,1,0,1,-1
UZ,17,17,18,19,21,0,0,1,1,1
VC,62,62,67,0,60,0,0,1,,
VE,19,20,19,17,17,0,1,-1,-1,0
VN,31,31,31,31,33,0,0,0,0,1
WS,0,0,52,0,0,0,,,,
YE,23,18,19,18,14,0,-1,1,-1,-1
ZA,43,42,44,44,45,0,-1,1,0,1
ZM,37,38,38,38,38,0,1,0,0,0
ZW,20,21,21,21,22,0,1,0,0,1
